CustomerAge,AccountBalance,TransactionAmount_capped,LoginAttempts,TransactionDuration,Target
0.8387096774193548,0.33683185966818,0.0,0.0,0.24482758620689654,1
0.8064516129032258,0.9180546275595326,0.4177680606380449,0.0,0.45172413793103444,1
0.016129032258064557,0.06863734931174438,0.1278583565790771,0.0,0.1586206896551724,3
0.12903225806451613,0.569197956003802,0.19537443528790893,0.0,0.05172413793103449,3
0.43029748107928134,0.4925911187531677,0.0,0.0,0.6482758620689656,1
0.0,0.045737843102722775,0.08826036779502763,0.0,0.5586206896551724,3
0.30645161290322587,0.8883303734554748,0.0,0.0,0.44482758620689655,1
0.7903225806451613,0.18115460779713835,0.18020332534955605,0.0,0.9689655172413792,1
0.532258064516129,0.6045605421617909,0.10459134852377446,0.0,0.26206896551724135,1
0.5967741935483871,0.06188385358620237,0.9277864445900728,0.0,0.3793103448275862,0
0.5483870967741935,0.5040264197666963,0.002000777113429563,0.0,0.16896551724137931,1
0.04838709677419356,0.09595919536134934,0.20177692205088354,0.0,0.5620689655172414,3
0.09677419354838712,0.10209024288923516,0.5549575777258413,0.0,0.3482758620689655,3
0.12903225806451613,0.005944850820811549,0.8881188635585995,0.0,0.3896551724137931,0
0.0,0.013355076448200345,0.17506509774811085,0.0,0.4275862068965517,3
0.29032258064516125,0.22614430312017286,0.5212401338490891,0.0,0.4103448275862069,0
0.016129032258064557,0.06923627084966197,0.6260344597611824,0.0,0.5103448275862069,3
0.33870967741935487,0.3366812890458528,0.5531133831691148,0.0,0.7724137931034483,0
0.6612903225806451,0.5274757776233234,0.003044660824784117,0.0,0.3310344827586207,1
0.0,0.4347283074114356,0.06428583855758468,0.0,0.5482758620689655,3
0.8548387096774193,0.3797633083592239,0.050181809746394246,0.0,0.09655172413793102,1
0.32258064516129037,0.607992073532239,0.08086039215231422,0.0,0.2862068965517241,1
0.33870967741935487,0.5964801428269905,0.04192352971878933,0.0,0.3793103448275862,1
0.06451612903225812,0.0874687599568185,0.3825079886100688,0.5,0.4551724137931034,3
0.04838709677419356,0.12299132740103008,0.1501858692941606,0.0,0.296551724137931,3
0.7580645161290323,0.23751305729615496,0.0,0.0,0.9172413793103449,1
0.08064516129032262,0.03845600581847905,0.2677851687322032,1.0,0.5103448275862069,2
0.30645161290322587,0.1737793360642184,0.0281442647289092,0.0,0.29310344827586204,3
0.4193548387096775,0.11231022387969408,0.12920380669593406,0.0,0.6448275862068966,3
0.14516129032258068,0.08405336115304833,0.04652821675665331,0.0,0.9413793103448276,3
